Name,SITE_NAME,Longitude,Latitude
331,Mosta_7,14.427194,35.904
332,Birkirkara_5,14.467889,35.89425
333,Naxxar_SeptAv,14.43792,35.91369
335,Zabbar_talHofra,14.538805,35.880739
337,VictoriaGardens,14.4713,35.916239
338,Ibragg_2,14.470281,35.920461
341,Xewkija_IndEst,14.25398,36.03533
342,Lija_3,14.45293056,35.90256667
345,Luqa_4,14.488528,35.8586
347,SanGwann_2,14.47766,35.91046
348,Selmun_WSC,14.37522222,35.95416667
349,Selmun_COPs,14.381073,35.959157
351,Zurrieq_Xarolla,14.47947,35.83032
353,MaterDei,14.477833,35.901794
354,Madliena_2,14.464318,35.926051
355,BKara_Rihanna,14.457763,35.900478
356,Tug_Malta,14.50641198,35.8896173
360,MScala_SouthernReef,14.569599,35.86155
361,Excelsior,14.504889,35.897583
362,Marsalforn_QollaSafra,14.255114,36.071941
363,Saqqajja_Hill,14.412619,35.8816
364,Kordin_Hill,14.502917,35.875861
365,Handaq_GMF_Estates,14.46615934,35.86810425
367,Mistra_2,14.384,35.952167
368,Mgarr_GoldenBay,14.3644182,35.92920584
369,Luqa_IndEst,14.47978056,35.86505278
370,Bidnija,14.39846,35.926569
371,Lija_4,14.447,35.90225
372,Gharb_Tranquility,14.21014704,36.05811585
374,Mgarr_Ix-xini,14.266303,36.024989
375,Birzebbuga_3,14.530333,35.835444
376,SanGwann_Tal-Gibjun,14.475301,35.907571
377,Paola_Church,14.508274,35.871647
379,Zurrieq_6,14.477639,35.825444
380,Paola_5,14.50445,35.8733
382,Kalkara_2,14.528558,35.889886
383,Birzebbuga_4,14.525775,35.82714167
384,Valletta_OldBakery,14.51414,35.90043
385,Embassy,14.512506,35.898747
386,Hamrun_Marsa,14.48809,35.88371
387,Rabat_CollegeStrt,14.399318,35.88042
388,Zejtun_4,14.534331,35.856869
389,Qormi_MdinaRd,14.47154,35.87531
390,Ghar_Ilma,14.21629,36.048888
391,Farsons_Multipackaging,14.465225,35.89013611
392,Bellavista_Bellagio,14.556891,35.864154
393,Tarxien_3,14.512694,35.864556
394,Mtarfa_Petalite,14.3932093,35.8888128
395,Armier_Hub_COP,14.351287,35.983675
396,Fontana_Manresa,14.237528,36.033353
397,Sannat,14.241596,36.024105
398,Xaghra_3,14.271344,36.053581
399,Bkara_SanAntnin,14.46745021,35.89865618
400,Santa_Margerita_2,14.430961,35.915411
401,Bkara_NaxxarRoad,14.459965,35.897766
402,Zurrieq_7,14.475543,35.832658
403,Siggiewi_3,14.445139,35.8595
404,Zebbug_talGrazzja,14.436619,35.8714
405,Qbajjar,14.250173,36.07818
407,Gharghur_talBalal,14.455457,35.91695
408,Swieqi_2,14.479625,35.92124167
409,Qala_2,14.30955,36.038811
410,Sliema_PrinceofWales,14.50109,35.90933
411,Valletta_Retail_RS,14.511519,35.897539
412,Nadur_2,14.291305,36.037842
413,Golden_Sands,14.343372,35.935331
414,Marsascala_3,14.567519,35.858739
415,Gharghur_Liquid,14.462594,35.912177
416,PortoPaolo,14.407691,35.949118
417,Qrendi_Tal-Warda,14.461396,35.837285
418,ESL_2,14.531689,35.877483
419,Ghajnsielem_Kemmunett,14.29440193,36.02910608
420,Balzan_Infetti,14.457269,35.894966
421,Iklin_Gnejna,14.453387,35.910785
423,TaQali_MFA,14.41602096,35.89441402
424,Attard_5,14.442697,35.895782
425,Ghaxaq_Shalom,14.516391,35.847108
426,Sliema_Gelateria,14.503725,35.915499
427,Hamrun_tasSamra,14.484639,35.88575
429,Zejtun_5,14.52989,35.85042
430,Bbuga_PrettyBay,14.52901667,35.82384444
431,Qormi_MRCD,14.464278,35.874778
436,Tigne_Point_Indoor,14.51059958,35.9077115
437,Attard_MisrahKola,14.430889,35.892694
438,Paceville_Vivaldi,14.49123443,35.92395892
439,Mgarr_DunEdgar,14.366282,35.920822
441,Mosta_Zokkrija,14.42112,35.91007
442,Fgura_Bulebel,14.52189,35.86902
445,Marsalforn_3,14.25873,36.07016
449,TaZuta_Quarry,14.39967,35.84902
451,Buskett_Verdala,14.400623,35.861529
452,HalFar_Seifert,14.514056,35.809856
453,Mellieha_Colonnade,14.358436,35.965805
455,Qui-si_Sana,14.50965,35.90992
456,Rabat_Benjamin,14.40168,35.878064
457,Fgura_CopaCabana,14.523589,35.873197
458,Smart_City_SCM02,14.54119,35.890545
460,Giorni_Sebuqa,14.483756,35.913501
462,Pieta_PXuereb,14.492629,35.888924
463,Burmarrad_Hillview,14.412222,35.935018
465,Qormi_Cappadocia,14.468009,35.878518
466,Zebbug_Gibjun,14.23344722,36.06337778
467,Xewkija_SanBert,14.26493056,36.03287778
469,Luqa_Polidano,14.493628,35.860617
470,Bahar_ic-Caghaq,14.454576,35.937209
471,Montekristo,14.4616669,35.8542987
472,Paola_MCAST,14.50487,35.876728
473,Paola_MCAST_ICT,14.508509,35.876563
474,Hamrun_Kuncizzjoni,14.487766,35.889725
475,Sliema_Mrabat,14.493964,35.911267
476,Ghajnsielem_2,14.287133,36.027424
478,Zejtun_TaGanza,14.538854,35.857301
479,Bkara_Laqxija,14.464151,35.903581
480,Qawra,14.41875,35.9468
486,Attard_Harley,14.437784,35.888813
493,Armier_Torri_l-Abjad_COP,14.365148,35.994537
495,Summer Daze,14.41809036,35.89629037
507,University_FICT_Test,14.485319,35.901816
508,TestCell_Bkara_AF,14.47253676,35.89359361
509,Test_NB1,14.47253718,35.8935305
510,Test_NB2,14.47254874,35.89345843
514,Mount_StJoseph,14.41435556,35.91425
515,Test_NB3,14.47254916,35.89339532
520,Ericsson_Testbed,14.47256077,35.89331422
521,Ericsson_Testbed2,14.47256125,35.8932421
535,TheQuad_BusinessCentre,14.45878037,35.89117022
536,TheQuad_BusinessCentre,14.45907713,35.89152318
537,TheQuad_BusinessCentre,14.45897937,35.89123423
601,ValYou_Naxxar_RPT,14.448261,35.915817
612,MAU_RPT,14.47581099,35.90284031
616,GreensSupermarket_RPT,14.47483672,35.92282443
625,Sliema_Car_Park_RPT,14.505601,35.91127
626,Popeye_Village_RPT,14.341972,35.960778
627,Xghajra_RPT,14.551313,35.886638
628,Dingli_RPT,14.37847,35.86026
629,Qala_Quarry_RPT,14.32747222,36.04155556
630,Dar_tal-Providenza_RPT,14.428088,35.838121
631,Dukes_(Primemall)_RPT,14.242802,36.044118
632,Mqabba_Quarry_JMicallef_RPT,14.47465,35.8521
634,Archbishop_Palace_RPT,14.40429327,35.8861519
700,Aragon_House,14.4903,35.92437778
701,Lufthansa_Technik,14.47059722,35.85697222
704,Piazzetta_BC_Indoor_DAS,14.506342,35.911961
705,T14_BusinessCentre,14.51176359,35.90765313
708,Central_Bank,14.50916351,35.89439804
709,Central_Bank_Main,14.50984444,35.89549722
712,BOV_HQ,14.472876,35.889249
713,Spinola_Park,14.48918264,35.91724234
714,MZ_Marketing_Marsa,14.49305833,35.86733611
716,GhadiraBay_COP,14.350383,35.969185
718,Pennellu_COP,14.352002,35.957835
720,MaterDei_Indoor_KapparaSide,14.47781819,35.90262366
721,MaterDei_Indoor_BKaraSide,14.47788597,35.90073961
722,MaterDei_Indoor_RadiologyL9_OP,14.47659363,35.90178885
724,Eden_Indoor_Arena,14.48777857,35.92356555
725,Eden_Indoor_Casino,14.4881317,35.92381049
732,Smart_City_Indoor_SCM01,14.54268519,35.8899953
733,Smart_City_Indoor_SCM02-03,14.5417492,35.89091137
736,Hilton_ConfCentre_Indoor,14.49276335,35.92234251
737,Hilton_Marina,14.49357869,35.92137223
738,Portomaso_CP,14.49245326,35.92056506
740,"MCC-Sacra Infermeria, La Vallette Hall + Reception",14.51814168,35.8993932
741,"MCC-Republic Hall, Level1 +  Courtyard",14.51768583,35.89964381
748,Skyparks,14.49442342,35.85128537
749,Skyparks,14.49424726,35.85112234
752,Oncology,14.474522,35.901137
756,LS01-02,14.473172,35.90302
757,LS03,14.47296849,35.90368439
760,MFCC_Indoor_SouthEntrance,14.41749849,35.89540394
761,MFCC_Indoor_NorthEntrance,14.41750891,35.89549415
764,14East_Indoor_Offices_CarPark,14.49364238,35.90442249
765,14East_Indoor_Residential_EmergencyExit,14.49387423,35.90455871
768,Ewropa_BusinessCentre_Indoor,14.46484209,35.90419842
769,TM_Lija_Indoor,14.436941,35.904404
770,ValYou_Naxxar_Indoor,14.44849483,35.91560176
772,Valletta_Waterfront_Augustea,14.50714301,35.88965636
774,Centerparc,14.48435,35.87967778
776,Gianpula,14.41804166,35.87568864
777,Gianpula_Fields1,14.41834965,35.87598766
778,Gianpula_Fields2,14.41834965,35.87598766
780,Planning_Authority,14.50285291,35.89000834
781,PlanningAuthority_Outdoor,14.503575,35.88946
788,StJamesHospital_Bulebel,14.52003,35.860304
796,MCP_DIST,14.50748867,35.89467068
797,Valletta_Parliament,14.509668,35.896223
800,Pendergardens_Carpark,14.48772184,35.92205063
804,Police_AntiFraud,14.482967,35.8869
805,Pinto_Business_Centre,14.47347611,35.88349382
806,Imriehel_Centris_Indoor,14.4697368,35.8879982
808,Armier_Riviera_COP,14.345178,35.986069
809,Armier_RivieraHotel_Indoor,14.34454152,35.98567326
812,Armier_Bay_CoP,14.35574584,35.98973696
813,Ramla tal-Qortin_CoP,14.35242321,35.98770855
816,MIA_Indoor_DAS_Loc1,14.49583378,35.84892008
817,MIA_Indoor_DAS_Loc2,14.49571373,35.84864008
820,MIA_Indoor_DAS_Loc3,14.49500227,35.84906986
821,MIA_Indoor_DAS_Loc4,14.49540081,35.84908956
822,MIA_Indoor_DAS_Loc5,14.49477873,35.8493935
824,SR_Technics,14.46697967,35.85477319
832,University_MATLAB,14.48461111,35.90302778
836,Imperial_Elderly_Home,14.501371,35.912097
840,St_Vincent_Indoor,14.48132222,35.86818889
844,Tain_Betting,14.46039923,35.89262908
